Center,Center.Name,Mall.Code,City,State,Intersecting.Streets,MSA,Center.Classification,Design.Type,Year.Opened,GLA.sqft,Stores,OD.Company,DistBetween
Atlantic City,Staten Island Mall,NY1280,Staten Island,NY,Richmond & Platinum Aves.,"new york-northern new jersey-long island, ny-nj-pa",Super-Regional Center,Enclosed,1973,1508909,205,GGP,85.51898617029295
Atlantic City,Gateway at Sanatoga,PA9487,Limerick,PA,Route 422 & Evergreen Rd.,"philadelphia-camden-wilmington, pa-nj-de-md",Power Center,Open,2011,412000,40,O'Neill Properties Group,85.76715378579931
Atlantic City,Aviation Plaza,NJ0052,Linden,NJ,Routes 1 & 9 & South Stiles St.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,2002,644565,34,"Milbrook Properties, Ltd.",87.36201495124419
Atlantic City,Oxford Commons,PA0112,Lower Oxford,PA,Routes 10 & 1,"philadelphia-camden-wilmington, pa-nj-de-md",Power Center,Open,2012,406826,18,"Wolfson Group, Inc.",87.75218394727615
Atlantic City,Woodlands Perryville Town Commons,MD9192,Perryville,MD,Pulaski Hwy. & Coudon Blvd.,"baltimore-towson, md",Lifestyle/Specialty Center,Open,NA,100000,5,Town Point Development,88.31070691915028
Atlantic City,Watchung Square,NJ0017,Watchung,NJ,Rte. 22  & Gray St.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,2001,820000,32,"Watchung Square Associates, LLC",88.34439543308717
Atlantic City,Kohl's at Staten Island,NY0117,Staten Island,NY,Forest Ave & Grandview Ave.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,2003,246863,2,Heidenberg Properties,88.61858994675856
Atlantic City,Coventry Mall,PA1300,Pottstown,PA,Rtes. 724 & 100,"philadelphia-camden-wilmington, pa-nj-de-md",Regional Center,Enclosed,1966,802275,102,"Pennmark Coventry Holdings, LLC",88.93785032856795
Atlantic City,Blue Star Shopping Center,NJ0530,Watchung,NJ,Rt. 22 & Bonnie Burn Rd.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,1959,418840,36,c/o Levin Management,89.02890590869929
Atlantic City,Trainers Corner Shopping Ctr.,PA9536,Quakertown,PA,Rte.309 (N. West End Blvd.) & 663,"philadelphia-camden-wilmington, pa-nj-de-md",Power Center,Open,1980,247100,20,Legend Properties Real Estate,89.66512185921304
Atlantic City,Upland Square Shopping Center,PA9483,Stowe,PA,Rte. 100 (Pottstown Pike) & Upland Square Dr.,"philadelphia-camden-wilmington, pa-nj-de-md",Power Center,Open,2009,541699,42,NA,89.98011283461477
Atlantic City,The Centre at Salisbury,MD0006,Salisbury,MD,"US 13 Business, US 13 Bypass","salisbury, md",Regional Center,Enclosed,1990,856895,110,Brookfield Properties Retail,90.17857852487354
Atlantic City,Kings Plaza Shopping Center,NY0200,Brooklyn,NY,Flatbush Ave. & Ave. U,"new york-northern new jersey-long island, ny-nj-pa",Super-Regional Center,Enclosed,1970,1200000,128,Macerich,90.43520844875356
Atlantic City,Richland Marketplace,PA9516,Quakertown,PA,Rte. 309 & W. Pumping Station Rd.,"philadelphia-camden-wilmington, pa-nj-de-md",Power Center,Open,NA,444531,35,Kimco Realty Corporation,90.63186871547953
Atlantic City,Empire Outlets New York City,NY1562,Staten Island,NY,Richmond Terrace & Bank Street,"new york-northern new jersey-long island, ny-nj-pa",Value-Retail Center,Open,2018,350000,125,BFC Partners,90.660040840046
Atlantic City,West Sadsbury Commons,PA0095,West Sadsbury,PA,Routes 30 & 10,"philadelphia-camden-wilmington, pa-nj-de-md",Power Center,Open,2002,441419,32,"Wolfson Group, Inc.",90.72487558576518
Atlantic City,The Mills at Jersey Gardens,NJ0014,Elizabeth,NJ,"Exit 13 A,New Jersey Turnpike","new york-northern new jersey-long island, ny-nj-pa",Value-Retail Center,Enclosed,1999,1300000,217,"Simon Property Group, Inc.",90.74460277242986
Atlantic City,Bayonne Crossing,NJ0126,Bayonne,NJ,"NJ Rte. 440, E. 22nd St. & New Hook Access Rd.","new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,2008,360045,27,Kite Realty Group,91.39513533859686
Atlantic City,Elizabeth Center,NJ0093,Elizabeth,NJ,Off exit 13A of the NJ Turnpike & IKEA Dr.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,1990,600000,15,NA,91.800581795724
Atlantic City,Union Plaza Shopping Center,NJ0114,Union,NJ,Route 22 West & Springfield Rd,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,1971,360000,25,c/o The Robbins Agency,92.1240491577972
Atlantic City,Union Crescent Plaza,NJ9323,Union,NJ,Springfield Ave. & NJ Rte. 78,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,2008,235656,5,Kimco Realty Corporation,93.87745659876751
Atlantic City,Gateway Center,NY0050,Brooklyn,NY,"Shore Pkwy,Hendrix Creek, Erskine & Gateway Dr","new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,2002,1227532,55,Related Management Corp.,94.00570813650096
Atlantic City,Pacific Park,NY1569,Brooklyn,NY,Atlantic & Flatbush Aves.,"new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Open,2025,247000,0,Forest City Realty Trust,94.46529140684481
Atlantic City,Atlantic Terminal,NY0088,Brooklyn,NY,Atlantic & Flatbush Aves.,"new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Enclosed,2004,373000,36,Madison International Realty,94.5388319281355
Atlantic City,Shops at One Brooklyn Bridge,NY1551,Brooklyn,NY,Furman Street (I-287) & Atlantic Ave.,"new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Open,2011,71038,12,CPEX Real Estate Services,94.78801076550246
Atlantic City,City Point,NY0126,Brooklyn,NY,"Willoughby St., Fleet St., DeKalb Ave. & Gold St.","new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Enclosed,1990,691320,15,Acadia Realty Trust,94.79960617310134
Atlantic City,The Andrea,NY9504,Brooklyn,NY,Fleet Pl. & Ashland Pl.,"new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Enclosed,2015,240000,16,Winick Realty Group,95.07104678072375
Atlantic City,The Mall at Short Hills,NJ0460,Short Hills,NJ,Rt. 24 & J.F. Kennedy Pkwy.,"new york-northern new jersey-long island, ny-nj-pa",Super-Regional Center,Enclosed,1980,1453000,160,The Taubman Company,95.26926945339795
Atlantic City,South Street Seaport,NY8810,New York,NY,Fulton & South Sts.,"new york-northern new jersey-long island, ny-nj-pa",Entertainment Center,Enclosed,1983,365000,60,The Howard Hughes Corp.,95.67487355216672
Atlantic City,Hudson Commons,NJ8934,Jersey City,NJ,Rte. 440 & Communipaw Ave.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,1965,236024,7,Urban Edge Properties,95.71161327192385
Atlantic City,Springfield Avenue Marketplace,NJ9308,Newark,NJ,NEC Springfield Ave. & Jones St.,"new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Open,2013,120000,15,Tucker Development Corp.,95.82716136297283
Atlantic City,Westfield World Trade Center,NY1566,New York,NY,Greenwich St. & Vesey St.,"new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Enclosed,2016,350000,100,Westfield LLC,95.9119540478661
Atlantic City,Brookfield Place,NY1523,New York,NY,Vesey & West Streets,"new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Enclosed,1985,300000,64,Brookfield Properties Retail,95.94324696743354
Atlantic City,Queenstown Premium Outlets,MD0034,Queenstown,MD,Routes 50 E & 301 N,"baltimore-towson, md",Value-Retail Center,Open,1989,289000,65,Premium Outlets | Simon,96.17467035935778
Atlantic City,Newport Centre,NJ0247,Jersey City,NJ,Washington Blvd. & 6th St.,"new york-northern new jersey-long island, ny-nj-pa",Super-Regional Center,Enclosed,1987,1152599,151,"Simon Property Group, Inc.",96.61787384082572
Atlantic City,The Shops at Lackawanna,NJ9340,Jersey City,NJ,Grove St. & 16th St.,"new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Enclosed,2010,200000,9,NA,97.02743077796974
Atlantic City,Waterside Village at Easton,MD9163,Easton,MD,Easton Pkwy. (Rte. 322) & Marlboro Ave.,"easton, md",Lifestyle/Specialty Center,Open,2007,218000,24,BET Investments,97.36962809141778
Atlantic City,Green Acres Mall,NY1360,Valley Stream,NY,Sunrise Hwy.,"new york-northern new jersey-long island, ny-nj-pa",Super-Regional Center,Enclosed,1956,2200000,160,Macerich,97.53503258201836
Atlantic City,The Promenade Shops at Saucon Valley,PA0175,Center Valley,PA,"I-78, Rt. 309, & Rt. 378","allentown-bethlehem-easton, pa-nj",Lifestyle/Specialty Center,Open,2006,463857,75,Poag Shopping Centers,97.63608869934313
Atlantic City,The Shops at Atlas Park,NY0136,Glendale,NY,Cooper Ave. & 80th Street,"new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Open,2006,372000,101,Macerich,97.76123398395468
Atlantic City,Livingston Mall,NJ0300,Livingston,NJ,S. Orange Ave. & Eisenhower Pkwy. NE,"new york-northern new jersey-long island, ny-nj-pa",Regional Center,Enclosed,1972,969000,109,"Simon Property Group, Inc.",97.80742653684015
Atlantic City,Chelsea Market,NY1567,New York,NY,9th Ave. btwn. 15th & 16th Sts.,"new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Enclosed,NA,100000,47,Jamestown Properties,98.03346181719968
